"","gni","leb","eye","mmr","abr","prp","edu.rat","lab.rat"
"Norway",64992,81.6,17.5,4,7.8,39.6,1.00723888314374,0.890829694323144
"Australia",42261,82.4,20.2,6,12.1,30.5,0.996828752642706,0.818941504178273
"Switzerland",56431,83,15.8,6,1.9,28.5,0.98343685300207,0.825100133511348
"Denmark",44025,80.2,18.7,5,5.1,38,0.988612836438924,0.884036144578313
"Netherlands",45435,81.6,17.9,6,6.2,36.9,0.969060773480663,0.828611898016997
"Germany",43919,80.9,16.5,7,3.8,36.9,0.992783505154639,0.807228915662651
"Ireland",39568,80.9,18.6,9,8.2,19.9,1.02417302798982,0.779735682819383
"United States",52947,79.1,16.5,28,31,19.4,1.00316455696203,0.817126269956459
"Canada",42155,82,15.9,11,14.5,28.2,1,0.867605633802817
"New Zealand",32689,81.8,19.2,8,25.3,31.4,0.99685204616999,0.840108401084011
"Singapore",76628,83,15.4,6,6,25.3,0.914814814814815,0.761658031088083
"Sweden",45636,82.2,15.8,4,6.5,43.6,0.990836197021764,0.888070692194403
"United Kingdom",39267,80.7,16.2,8,25.8,23.5,0.998998998998999,0.810771470160116
"Iceland",35182,82.6,19,4,11.5,41.3,0.993449781659389,0.910852713178295
"Korea (Republic of)",33890,81.9,16.9,27,2.2,16.3,0.864197530864198,0.694868238557559
"Israel",30676,82.4,16,2,7.8,22.5,0.966781214203895,0.837916063675832
"Luxembourg",58711,81.7,13.9,11,8.3,28.3,1,0.784829721362229
"Japan",36927,83.5,15.3,6,5.4,11.6,1.01398601398601,0.693181818181818
"Belgium",41187,80.8,16.3,6,6.7,42.4,0.934861278648975,0.801011804384486
"France",38056,82.2,16,12,5.7,25.7,0.9375,0.823051948051948
"Austria",43869,81.4,15.7,4,4.1,30.3,1,0.806499261447563
"Finland",38695,80.8,17.1,4,9.2,42.5,1,0.8703125
"Slovenia",27852,80.4,16.8,7,0.6,27.7,0.977551020408163,0.82753164556962
"Spain",32045,82.6,17.3,4,10.6,38,0.913816689466484,0.797872340425532
"Italy",33030,83.1,16,4,4,30.1,0.884472049689441,0.665546218487395
"Czech Republic",26660,78.6,16.4,5,4.9,18.9,1.00200601805416,0.748169838945827
"Greece",24524,80.9,17.6,5,11.9,21,0.888059701492537,0.7072
"Estonia",25214,76.8,16.5,11,16.8,19.8,1,0.815674891146589
"Cyprus",28633,80.2,14,10,5.5,12.5,0.930232558139535,0.787623066104079
"Qatar",123124,78.2,13.8,6,9.5,0,1.13050847457627,0.531937172774869
"Slovakia",25845,76.3,15.1,7,15.9,18.7,0.995979899497487,0.744897959183674
"Poland",23177,77.4,15.5,3,12.2,22.1,0.928654970760234,0.75346687211094
"Lithuania",24500,73.3,16.4,11,10.6,23.4,0.944856839872746,0.829123328380386
"Malta",27930,80.6,14.4,9,18.2,13,0.877237851662404,0.571644042232277
"Saudi Arabia",52821,74.3,16.3,16,10.2,19.9,0.860597439544808,0.257982120051086
"Argentina",22050,76.3,17.9,69,54.4,36.8,0.977430555555555,0.633333333333333
"United Arab Emirates",60868,77,13.3,8,27.6,17.5,1.19444444444444,0.505434782608696
"Chile",21290,81.7,15.2,22,55.3,15.8,0.959424083769633,0.657754010695187
"Portugal",25757,80.9,16.3,8,12.6,31.3,0.989626556016598,0.829305135951662
"Hungary",22916,75.2,15.4,14,12.1,10.1,0.991894630192503,0.746666666666667
"Bahrain",38599,76.6,14.4,22,13.8,15,1.10311284046693,0.451093210586881
"Latvia",22281,74.2,15.2,13,13.5,18,0.998989898989899,0.812130177514793
"Croatia",19409,77.3,14.8,13,12.7,25.8,0.908119658119658,0.76541095890411
